Site,Floor,Row ,Cabinet,Type,Chassis ,Cluster,Hostgroup,RU,Hostname,Slot,Type,Model Name,Serial Number,Commission date,Description,Status
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c01-01,1,C6320,PowerEdge C6320,S6DQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c01-02,2,C6320,PowerEdge C6320,1S6FQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c01-03,3,C6320,PowerEdge C6320,1S74QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c01-04,4,C6320,PowerEdge C6320,1S75QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c02-01,1,C6320,PowerEdge C6320,1S7BQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c02-02,2,C6320,PowerEdge C6320,1S7CQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c02-03,3,C6320,PowerEdge C6320,1S7DQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c02-04,4,C6320,PowerEdge C6320,1S7FQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c03-01,1,C6320,PowerEdge C6320,1SD6QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c03-02,2,C6320,PowerEdge C6320,1SD9QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c03-03,3,C6320,PowerEdge C6320,1SD7QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c03-04,4,C6320,PowerEdge C6320,1SD8QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c04-01,1,C6320,PowerEdge C6320,1S66QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c04-02,2,C6320,PowerEdge C6320,1S67QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c04-03,3,C6320,PowerEdge C6320,1S65QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c04-04,4,C6320,PowerEdge C6320,1S64QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c05-01,1,C6320,PowerEdge C6320,1SB8QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c05-02,2,C6320,PowerEdge C6320,1SB9QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c05-03,3,C6320,PowerEdge C6320,1SBBQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c05-04,4,C6320,PowerEdge C6320,1SBCQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c06-01,1,C6320,PowerEdge C6320,1SG4QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c06-02,2,C6320,PowerEdge C6320,1SG5QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c06-03,3,C6320,PowerEdge C6320,1SG6QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c06-04,4,C6320,PowerEdge C6320,1SG7QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c07-01,1,C6320,PowerEdge C6320,1S8BQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c07-02,2,C6320,PowerEdge C6320,1S89QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c07-03,3,C6320,PowerEdge C6320,1S8CQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c07-04,4,C6320,PowerEdge C6320,1S88QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c08-01,1,C6320,PowerEdge C6320,1SF5QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c08-02,2,C6320,PowerEdge C6320,1SF6QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c08-03,3,C6320,PowerEdge C6320,1SF7QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-003,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c08-04,4,C6320,PowerEdge C6320,1SF8QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c09-01,1,C6320,PowerEdge C6320,1S85QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c09-02,2,C6320,PowerEdge C6320,1S86QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c09-03,3,C6320,PowerEdge C6320,1S84QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c09-04,4,C6320,PowerEdge C6320,1S87QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-01,1,C6320,PowerEdge C6320,1S45QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-02,2,C6320,PowerEdge C6320,1S47QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-03,3,C6320,PowerEdge C6320,1S46QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-04,4,C6320,PowerEdge C6320,1S44QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-01,1,C6320,PowerEdge C6320,1SC7QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-02,2,C6320,PowerEdge C6320,1SC8QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-03,3,C6320,PowerEdge C6320,1SC9QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-04,4,C6320,PowerEdge C6320,1SCBQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c12-01,1,C6320,PowerEdge C6320,1SCDQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c12-02,2,C6320,PowerEdge C6320,1SD4QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c12-03,3,C6320,PowerEdge C6320,1SCCQD2,1/1/17,Compute Node,Production
